phrase,ticker

S&P 500 Index, GSPC

Dow Jones Industrial Average ,DJI

NASDAQ Composite Index,IXIC

Volatility Index,VIX

Bitcoin ,BTC

Ethereum ,ETH

Marathon Digital Holdings,MARA

Riot Platforms, RIOT

SPDR Gold Shares ,GLD

iShares Silver Trust ,SLV

Advanced Micro Devices,AMD

Alphabet Inc. (Class A shares),GOOGL

Amazon.com/Amazon,AMZN

Apple/iPhone/macbook,AAPL

Bank of America Corporation,BAC

Berkshire Hathaway ,BRK.B

Chevron Corporation,CVX

The Coca-Cola/coca-cola,KO

Exxon Mobil,XOM

The Goldman Sachs Group,GS

Johnson & Johnson,JNJ

JPMorgan Chase & Co,JPM

Meta/Facebook/Instagram/Whatsapp,META

Microsoft,MSFT

NVIDIA ,NVDA

PepsiCo,PEP

The Procter & Gamble,PG

Tesla, TSLA
